Name,cluster,volatility,avg_return,avg_volume,volume_volatility,momentum,price_range,trend_strength,price_level,volume_to_price_ratio
LKQ,0,0.0135069338806563,-0.0019029767919752,1477114.15,0.3095336949644507,-0.0390569183138842,0.023543990086741,0.2947368421052634,0.4035,31953.85377942999
ALLE,0,0.0157344676218563,-0.0017032379956569,714053.1,0.2976420915098235,-0.0358133365488968,0.0182591295647824,0.1506849315068477,0.7996,7233.716858429215
PHM,0,0.0201627379209914,-0.0071341195070972,5669609.65,0.489948461695133,-0.1367965367965367,0.0374456703443664,0.0089285714285728,0.2991,187176.7301905717
AES,-1,0.0272179575015095,-0.0009696945790757,12662141.65,0.4759363329780369,-0.0260223048327136,0.0300572519083969,0.0476190476190495,0.1048,838382.7290076335
WEC,0,0.0109035065897632,-0.0039847424384436,2056517.0,0.3102181878472926,-0.0778000308118933,0.0195456064149682,0.0341880341880334,0.5986,31818.910791847644
MSI,0,0.0161613003761122,0.0055390338752254,1449456.45,0.6974873947690942,0.1140903169778548,0.0177336061580433,0.1593406593406555,1.0263,20424.72961122479
UDR,0,0.0133640014941917,-0.0043464323343998,1706439.5,0.2511075187730366,-0.0850027070925825,0.0310650887573965,0.0,0.3379999999999999,74861.56804733728
ADS,0,0.0240023735930033,-0.0038358654886041,734501.3,0.4655353018888349,-0.0791536050156739,0.0391084093211751,0.6911917098445599,2.4675,3359.404255319149
AMP,0,0.0209865775800682,-0.0039633386608257,1278906.1,0.2697275691880703,-0.0802504595588235,0.0333520704515645,0.2078651685393282,1.6011000000000002,8202.011117356817
ROST,0,0.0170565945483063,-0.001449663281232,2395146.25,0.2765891014859601,-0.0313004595702398,0.027439415309655,0.3691588785046691,0.7798999999999999,28454.41723297859
NOV,0,0.0246050869081426,-0.0054961241865322,3372655.3,0.3447853654868584,-0.1095711297071131,0.0637298091042585,0.0552995391705056,0.3404999999999999,147932.74596182085
FTV,0,0.0140492565774663,-0.0013403863725417,1576629.6,0.3153930593406749,-0.0283274600162646,0.0191100571906819,0.0072992700729861,0.7169,35336.58808759939
IP,0,0.015223877767469,-0.0017423195169071,2862834.35,0.4252845636594307,-0.0364286875914783,0.0247645569620253,0.0802835139371651,0.5925,65340.03375527426
XLNX,0,0.0232667237273942,-0.0052798461741236,2977876.6,0.472574072097744,-0.1051576696953501,0.0307600418097656,0.0048543689320413,0.6697,29636.74779752128
CVS,0,0.0176617163604027,-0.0020442979019989,8862520.9,0.2971650459869838,-0.0429913759814648,0.0267652992602556,0.3919597989949736,0.7434999999999999,129267.86819098858
COF,0,0.0150212220266637,-0.0016763969529269,2607375.05,0.2410314268377296,-0.0351066968236797,0.0177333876885445,0.1321839080459796,0.9812,25288.259274357926
PDCO,0,0.0182791621924671,-0.0047472692183781,1248851.75,0.2731248597101408,-0.0937081659973226,0.0262924667651403,0.022471910112363,0.3385,34360.059084194974
SCHW,0,0.0178164323579951,-0.0010913205199596,8290771.2,0.2443980494056312,-0.0245594300712411,0.0265231597155487,0.2826086956521738,0.5203,195698.6930616952
IQV,0,0.0164352608074131,-3.833219655188791e-05,1118862.65,0.3269169297466079,-0.0033488938502132,0.0212809286223399,0.0239234449760751,0.9821,9214.855920985645
FLR,0,0.0186365262690404,0.0030844718952586,1760883.95,0.3340479963698464,0.0600260174688718,0.0171809256661991,0.163265306122446,0.5704,25693.21528751753
FIS,0,0.0118590735000605,0.0004462121001441,1794002.05,0.6158006191195677,0.0076009995835067,0.0282112224863076,0.4725274725274714,0.9677,32032.61341324791
JEC,0,0.0202303903969871,-0.0010722568836185,1119626.8,0.4645433404483992,-0.0251070742874019,0.0633237388274502,0.7392344497607677,0.6601,31435.81275564308
JPM,0,0.0157794812878852,0.0018429352091461,17098067.05,0.3402906235314583,0.0350298028427327,0.0292726145122707,0.5217917675544802,1.1287,193836.48445113847
BWA,0,0.0201708905710986,-0.0004745338365438,1474572.25,0.3721538080756162,-0.0132759239325439,0.0492727272727272,0.7121771217712174,0.55,43956.43636363636
