method_id,method_name,n_total,n_core,n_clusters_core,noise_ratio,max_cluster_share,min_cluster_share,effective_clusters,silhouette_original,dbi_original,best_return_to_risk,best_rr_cluster,defensive_volatility,defensive_cluster,spread_avg_return,spread_volatility,spread_momentum,feature_separation_score,avg_cluster_confidence
03A,K-Means,505,505,6,0.0,0.5663366336633663,0.0019801980198019802,2.401568871184941,0.24962201742466794,0.978213511026563,0.09886562302429389,1,0.015388859933582924,0,0.005949040756467346,0.00556657924769146,0.10576106459228714,0.7664165722172135,
03B,Hierarchical,505,505,4,0.0,0.5485148514851486,0.05742574257425743,2.5455915674316,0.19651086123606903,1.7476619254898647,0.09558504481014687,0,0.015640180556798826,3,0.0023340747223343783,0.0028738997897437514,0.0456175805493325,0.8085439290941361,
03C,DBSCAN,505,458,2,0.09306930693069307,0.9890829694323144,0.010917030567685589,1.022072366177144,0.565217586672744,0.552344395310496,-0.009766263333043658,1,0.01709285209156192,0,0.0007502902058189525,0.0007310317471293393,0.013865284153076224,1.0,
03D,GMM,505,505,9,0.0,0.3485148514851485,0.0019801980198019802,4.794514109529808,0.05745943734705549,1.6112665113986082,0.15806203885462802,7,0.01565979356212897,6,0.005700055274361437,0.006222900503590507,0.10296858980304599,0.7297242667966589,0.9753093850907381
03E,Autoencoder + K-Means,505,505,4,0.0,0.596039603960396,0.005940594059405941,2.280613111792744,0.22487294686184034,1.5461271906499845,0.09524621473010106,0,0.01618105139565069,3,0.004994634502299798,0.004248826105538777,0.09161112408401452,0.8509013947852657,
03F,t-SNE + K-Means,505,505,2,0.0,0.5346534653465347,0.46534653465346537,1.9904390243902437,0.18802979188834318,1.9849072897637339,0.042271144107702614,0,0.017027841076540706,1,0.0021893329921258463,0.0012854355305670744,0.04230619705012743,1.0,
