cluster,volatility,avg_return,avg_volume,volume_volatility,momentum,price_range,trend_strength,price_level,volume_to_price_ratio
0,0.0195,0.0019,3602790.222,0.4144,0.035,0.0351,0.5044,1.6601,93622.5948
1,0.0238,-0.0053,10062962.7231,0.5033,-0.104,0.0403,0.2177,0.6826,356276.1952
2,0.0274,-0.0117,74831502.5,0.4011,-0.214,0.058,0.1422,0.0963,11978550.8361
3,0.0162,-0.0018,3626601.4977,0.3824,-0.0376,0.0255,0.1783,0.9517,72802.2599
