cluster,volatility,avg_return,avg_volume,volume_volatility,momentum,price_range,trend_strength,price_level,volume_to_price_ratio
0,0.0204,0.0019,3320188.7223,0.4256,0.0364,0.0337,0.3884,1.7094,66554.5487
1,0.0216,-0.0016,30241734.0862,0.3716,-0.0323,0.0329,0.3126,0.4195,2098669.5842
2,0.0234,-0.0045,5121056.4782,0.5725,-0.0894,0.0419,0.3073,0.6758,159421.7256
3,0.0156,-0.0026,3230231.7794,0.3681,-0.0515,0.0258,0.1869,0.924,62421.361
