cluster,volatility,avg_return,avg_volume,volume_volatility,momentum,price_range,trend_strength,price_level,volume_to_price_ratio
0,0.0196,0.0008,7033487.2711,0.41,0.014,0.0319,0.3915,1.2439,323152.9236
1,0.017,-0.0036,3301060.5159,0.4082,-0.0706,0.029,0.1523,0.9329,78567.8447
