date,open,high,low,close,volume,Name,volatility,avg_return,avg_volume,volume_volatility,momentum,price_range,trend_strength,price_level,volume_to_price_ratio
2018-02-07,40.31,41.02,40.07,40.35,1289338,LKQ,0.013506933880656376,-0.0019029767919752417,1477114.15,0.30953369496445077,-0.03905691831388427,0.023543990086741087,0.29473684210526346,0.4035,31953.85377942999
2018-02-07,79.74,81.2,79.74,79.96,578408,ALLE,0.015734467621856315,-0.001703237995656981,714053.1,0.2976420915098235,-0.03581333654889681,0.01825912956478249,0.15068493150684772,0.7996,7233.716858429215
2018-02-07,30.08,31.02,29.9,29.91,5598456,PHM,0.020162737920991478,-0.00713411950709728,5669609.65,0.489948461695133,-0.13679653679653675,0.037445670344366466,0.008928571428572816,0.2991,187176.73019057172
2018-02-07,10.6,10.78,10.465,10.48,8786251,AES,0.027217957501509543,-0.0009696945790757527,12662141.65,0.47593633297803695,-0.026022304832713696,0.0300572519083969,0.0476190476190495,0.1048,838382.7290076335
2018-02-07,60.2,60.99,59.82,59.86,1904680,WEC,0.010903506589763216,-0.003984742438443672,2056517.0,0.31021818784729266,-0.07780003081189335,0.01954560641496829,0.03418803418803341,0.5986,31818.910791847644
2018-02-07,102.78,104.16,102.34,102.63,2096190,MSI,0.016161300376112207,0.005539033875225435,1449456.45,0.6974873947690942,0.11409031697785486,0.01773360615804339,0.15934065934065555,1.0263,20424.72961122479
2018-02-07,33.96,34.85,33.8,33.8,2530321,UDR,0.013364001494191773,-0.00434643233439983,1706439.5,0.2511075187730366,-0.08500270709258259,0.031065088757396577,0.0,0.33799999999999997,74861.56804733728
2018-02-07,240.08,249.73,240.08,246.75,828933,ADS,0.024002373593003397,-0.00383586548860419,734501.3,0.4655353018888349,-0.07915360501567391,0.03910840932117519,0.6911917098445599,2.4675,3359.404255319149
2018-02-07,159.33,164.34,159.0,160.11,1313224,AMP,0.020986577580068208,-0.003963338660825771,1278906.1,0.2697275691880703,-0.08025045955882351,0.03335207045156457,0.20786516853932827,1.6011000000000002,8202.011117356817
2018-02-07,77.7,79.34,77.2,77.99,2219160,ROST,0.017056594548306346,-0.001449663281232011,2395146.25,0.2765891014859601,-0.031300459570239844,0.02743941530965509,0.3691588785046691,0.7798999999999999,28454.41723297859
2018-02-07,35.23,36.1,33.93,34.05,5037110,NOV,0.024605086908142636,-0.005496124186532248,3372655.3,0.34478536548685845,-0.1095711297071131,0.0637298091042585,0.05529953917050569,0.34049999999999997,147932.74596182085
2018-02-07,71.92,73.05,71.68,71.69,2533280,FTV,0.014049256577466371,-0.0013403863725417297,1576629.6,0.3153930593406749,-0.028327460016264617,0.01911005719068197,0.007299270072986114,0.7169,35336.58808759939
2018-02-07,59.33,60.5995,59.1322,59.25,3871397,IP,0.015223877767469007,-0.001742319516907126,2862834.35,0.42528456365943074,-0.03642868759147832,0.024764556962025345,0.08028351393716517,0.5925,65340.033755274264
