cluster,volatility,avg_return,avg_volume,volume_volatility,momentum,price_range,trend_strength,price_level,volume_to_price_ratio
0,0.0171,-0.0017,3559953.2576,0.3895,-0.0344,0.0291,0.26,0.9745,79333.6069
1,0.0186,-0.0002,30877394.83,0.3605,-0.0067,0.0245,0.2903,0.484,779443.4797
