,MAE,RMSE,MAPE(%),R2
02C Global Sentiment,4.838274583662289,9.297370925657438,1.0694194126297816,0.9995413576391783
02C Cluster-Specific Sentiment,5.106616760281754,9.440609968480935,1.2674363969976357,0.9995271167190497
02C Blended (Global+Cluster),4.838274417891852,9.297371158535189,1.0694192425465008,0.9995413576162024
