Strategy,Scenario,DeadbandQ,Score,IR,Alpha_tstat_NW,BetaHedgedSharpe,TurnoverPenalty,Beta_Realized,BetaNeutralPass,Sharpe,TotalReturn,MaxDrawdown,Sharpe_CI_L,Sharpe_CI_H,IR_CI_L,IR_CI_H,AvgTurnover,ActiveReturnAnn,TrackingErrorAnn,Deployable,Score_Mean,Strict_IR,Strict_Alpha_t,Strict_BetaPass
XGB_WFO,5bps_20adv,0.1,-3.290330216182242,-5.090756368922983,-2.727555289090764,-4.107521254967019,0.02586206896551724,-0.14277261249415127,False,-4.107521254967019,-0.059129599548499834,-0.05986394845594356,-7.153699836764538,-1.2545962139204576,-8.201096239410216,-2.0360517180450497,0.02586206896551724,-0.4202750333903094,0.08255650102425416,False,-3.0143021275449566,-4.8630299723033,-2.505296104303446,False
XGB_WFO,10bps_10adv,0.1,-3.10689043284117,-4.8630299723033,-2.505296104303446,-3.8666675133302504,0.02586206896551724,-0.17986068360607463,False,-3.8666675133302504,-0.05464487993504552,-0.05737003807303109,-7.037229852567193,-1.054166042059144,-8.223962624557087,-1.6938194848795471,0.02586206896551724,-0.40997137166875963,0.08430369008598149,False,-3.0143021275449566,-4.8630299723033,-2.505296104303446,False
XGB_WFO,20bps_5adv,0.1,-2.6456857336114585,-4.309779172629989,-2.1558132941101835,-2.9656864293515657,0.02586206896551724,-0.2899718329587241,False,-2.9656864293515657,-0.04820383576078657,-0.05612498694296142,-6.477803320678345,-0.1266533681720681,-8.022956941647749,-1.017086932988337,0.02586206896551724,-0.395076423064101,0.0916697601512378,False,-3.0143021275449566,-4.8630299723033,-2.505296104303446,False
XGB_WFO,5bps_20adv,0.2,-3.290330216182242,-5.090756368922983,-2.727555289090764,-4.107521254967019,0.02586206896551724,-0.14277261249415127,False,-4.107521254967019,-0.059129599548499834,-0.05986394845594356,-7.153699836764538,-1.2545962139204576,-8.201096239410216,-2.0360517180450497,0.02586206896551724,-0.4202750333903094,0.08255650102425416,False,-3.0143021275449566,-4.8630299723033,-2.505296104303446,False
XGB_WFO,10bps_10adv,0.2,-3.10689043284117,-4.8630299723033,-2.505296104303446,-3.8666675133302504,0.02586206896551724,-0.17986068360607463,False,-3.8666675133302504,-0.05464487993504552,-0.05737003807303109,-7.037229852567193,-1.054166042059144,-8.223962624557087,-1.6938194848795471,0.02586206896551724,-0.40997137166875963,0.08430369008598149,False,-3.0143021275449566,-4.8630299723033,-2.505296104303446,False
XGB_WFO,20bps_5adv,0.2,-2.6456857336114585,-4.309779172629989,-2.1558132941101835,-2.9656864293515657,0.02586206896551724,-0.2899718329587241,False,-2.9656864293515657,-0.04820383576078657,-0.05612498694296142,-6.477803320678345,-0.1266533681720681,-8.022956941647749,-1.017086932988337,0.02586206896551724,-0.395076423064101,0.0916697601512378,False,-3.0143021275449566,-4.8630299723033,-2.505296104303446,False
XGB_WFO,5bps_20adv,0.3,-3.290330216182242,-5.090756368922983,-2.727555289090764,-4.107521254967019,0.02586206896551724,-0.14277261249415127,False,-4.107521254967019,-0.059129599548499834,-0.05986394845594356,-7.153699836764538,-1.2545962139204576,-8.201096239410216,-2.0360517180450497,0.02586206896551724,-0.4202750333903094,0.08255650102425416,False,-3.0143021275449566,-4.8630299723033,-2.505296104303446,False
XGB_WFO,10bps_10adv,0.3,-3.10689043284117,-4.8630299723033,-2.505296104303446,-3.8666675133302504,0.02586206896551724,-0.17986068360607463,False,-3.8666675133302504,-0.05464487993504552,-0.05737003807303109,-7.037229852567193,-1.054166042059144,-8.223962624557087,-1.6938194848795471,0.02586206896551724,-0.40997137166875963,0.08430369008598149,False,-3.0143021275449566,-4.8630299723033,-2.505296104303446,False
XGB_WFO,20bps_5adv,0.3,-2.6456857336114585,-4.309779172629989,-2.1558132941101835,-2.9656864293515657,0.02586206896551724,-0.2899718329587241,False,-2.9656864293515657,-0.04820383576078657,-0.05612498694296142,-6.477803320678345,-0.1266533681720681,-8.022956941647749,-1.017086932988337,0.02586206896551724,-0.395076423064101,0.0916697601512378,False,-3.0143021275449566,-4.8630299723033,-2.505296104303446,False
Ridge_WFO,5bps_20adv,0.1,-3.052328579034683,-4.426803842763584,-2.7403910724920317,-3.958212846963485,0.13103448275862067,-0.5640682686589354,False,-3.958212846963485,-0.08776431627500991,-0.09819394746915522,-7.002045141726947,-1.28342409115114,-7.706904363768149,-1.6358326421989176,0.13103448275862067,-0.4866405607733868,0.10993045503122134,False,-3.240713828772833,-4.64431709804445,-3.1384015158754197,False
