bin,avg_abs_pred,hit_rate,horizon
0,0.00026551515,0.5016583042775746,T+5
1,0.000804885,0.48941236499702356,T+5
2,0.0013623425,0.49791648949740624,T+5
3,0.0019482535,0.492855927878891,T+5
4,0.0025932165,0.4923888085721575,T+5
5,0.003333083,0.4914533548771154,T+5
6,0.0042398926,0.4861370981459432,T+5
7,0.0054365797,0.49468492218726084,T+5
8,0.007323434,0.4898375712220427,T+5
9,0.013878236,0.48379964282677096,T+5
0,0.00044996996,0.49893698443745216,T+10
1,0.001359147,0.5020835105025938,T+10
2,0.0022840116,0.5042945828726932,T+10
3,0.0032443274,0.498299030447355,T+10
4,0.0043085883,0.499022025682456,T+10
5,0.005528061,0.49842673696742923,T+10
6,0.0070256563,0.5031467936723932,T+10
7,0.008979742,0.5057402840377583,T+10
8,0.012119922,0.48337443660175183,T+10
9,0.022974769,0.4719789097712391,T+10
0,0.0005901143,0.5027638404626243,T+15
1,0.00178209,0.5018283867675822,T+15
2,0.0030267597,0.5050599540777277,T+15
3,0.0043426626,0.50340193910529,T+15
4,0.0057933833,0.5088868101028999,T+15
5,0.0074749445,0.507356067692831,T+15
6,0.009511175,0.5135227079435278,T+15
7,0.012195183,0.5141593672931372,T+15
8,0.016492978,0.5182413470533208,T+15
9,0.03049017,0.47172378603622755,T+15
