Name,date,ret_1d,ret_5d,ret_10d,ret_20d,vol_5d,vol_20d,mom_5d,mom_20d,vol_norm,bb_upper,bb_lower,bb_pct,rsi_14,macd,macd_signal,macd_hist,atr_14,price_spread,sent_lag1,sent_lag5,sent_lag10,sent_roll5,cluster,dist_ema200,ema200_slope,dist_ema50,ema50_200_cross,sentiment_velocity_10d,sentiment_acceleration,adx_14,dist_52wk_high,momentum_12_1,fwd_logret_5d,fwd_logret_10d,fwd_logret_15d
AAPL,2013-02-08,,,,,,,,,,,,,,0.0,0.0,0.0,,0.022232964205276484,0.0,0.0,0.0,0.0,2,0.0,,0.0,0,,,,,,-0.031697831527885724,-0.07015391134567424,-0.12289839706324072
AAPL,2013-02-11,0.010422346737563704,,,,,,,,,,,,,0.05641481481481492,0.011282962962962984,0.04513185185185194,,0.024357728980977992,0.0,0.0,0.0,0.0,2,0.010317571810187873,,0.01000953616376927,1,,,,,,-0.04243596267445454,-0.0666848865018814,-0.10719932576409777
AAPL,2013-02-12,-0.02506658265438,,,,,,,,,,,,,-0.03712474411733524,0.0016014215469033392,-0.03872616566423858,,0.0312808559738251,0.0,0.0,0.0,0.0,2,-0.014860526502910781,,-0.014716474008016766,0,,,,,,-0.04156543236884182,-0.051147794674514,-0.09460907859210929
AAPL,2013-02-13,-0.001902972347059051,,,,0.018018187304283954,,,,,,,,,-0.12013465787765654,-0.022745794338008638,-0.0973888635396479,,0.02231262253171491,0.0,0.0,0.0,0.0,2,-0.016571459552694835,,-0.01595117510284369,0,,,,,,-0.045896382309922414,-0.05639814352221943,-0.08121140801283525
AAPL,2013-02-14,-0.0008993398845246192,,,,0.014891759274789392,,,,0.686783749586791,,,,,-0.18858818395337096,-0.0559142722610811,-0.13267391169228987,,0.01633171106158646,0.0,0.0,0.0,0.0,2,-0.017285207831011618,,-0.016186614601501455,0,,,,,,-0.034403692095951,-0.08057181043154311,-0.07767337298921412
AAPL,2013-02-15,-0.013779787444715974,-0.031200721547081978,,,0.013567007118145192,,-0.031200721547081978,,0.7892024379700262,,,,,-0.313341366104396,-0.10739969102974409,-0.20594167507465191,,0.022252274587371192,0.0,0.0,0.0,0.0,2,-0.030529438797660444,,-0.02861031914780374,0,,,,,,-0.03845607981778856,-0.09120056553535509,-0.0496524539902697
AAPL,2013-02-19,-0.0003696542743747422,-0.04154815975169712,,,0.010835990333645297,,-0.04154815975169712,,0.8929394778520275,,,,,-0.4094500829907588,-0.16780976942194703,-0.24164031356881177,1.5111571428571458,0.019305219071580487,0.0,0.0,0.0,0.0,2,-0.03058986789586529,,-0.02786499885742829,0,,,,,,-0.02424892382742693,-0.0647633630896432,-0.07107791686208981
AAPL,2013-02-20,-0.02421750404791767,-0.04071343510445402,,,0.010511365798097614,,-0.04071343510445402,,0.9782998922217245,,,,13.739508672333343,-0.6070321251895905,-0.25565424057547576,-0.35137788461411473,1.5220875000000031,0.019806180148935437,0.0,0.0,0.0,0.0,2,-0.05355739853341485,,-0.04949146882701686,0,,,,,,-0.009582362305672084,-0.053043646223267474,-0.04674862602562905
AAPL,2013-02-21,-0.006216333392595863,-0.044859073440094877,,,0.010027768628515425,,-0.044859073440094877,,0.9266912896282138,,,,12.751992314876233,-0.7867122764828025,-0.36186584775694114,-0.42484642872586137,1.4537666666666698,0.014236662542412393,0.0,0.0,0.0,0.0,2,-0.058884177612705174,,-0.053343483613938376,0,,,,,,-0.010501761212297043,-0.03531502570291276,-0.0308704802210264
AAPL,2013-02-22,0.010649249562166174,-0.033818613889905924,,,0.013212232331785027,,-0.033818613889905924,,0.7080176858814318,-3.0189492987188653,0.9810506762932566,-0.5094746571977383,22.263992994704736,-0.864388608390783,-0.46237039988370954,-0.4020182085070735,1.387530000000003,0.011091373788288575,0.0,0.0,0.0,0.0,2,-0.048399342527279655,,-0.04163637990813003,0,,,,,,-0.04616811833559216,-0.043269680893263156,-0.01598859552771133
AAPL,2013-02-25,-0.017768247274127513,-0.03772603294030308,-0.06774967503853857,,0.013845225115606704,0.012942177432286263,-0.03772603294030308,,0.8114734832780525,-3.455136847107913,0.5448631298230568,-0.7275684314192504,18.806573495914108,-1.0066787418413128,-0.5712320682752302,-0.4354466735660826,1.4243818181818206,0.028343063461912815,0.0,0.0,0.0,0.0,2,-0.0646998349677188,,-0.056494209962980844,0,,,,,,-0.05274448571756654,-0.011196374172481137,0.02876018477011193
AAPL,2013-02-26,0.01393361377616098,-0.023957280773304612,-0.06451005959621614,,0.01685837699609015,0.013793639404645465,-0.023957280773304612,,1.0843355550731262,-2.875028657167882,1.1249713195738646,-0.43751433567048154,27.480878653240865,-1.036376382102091,-0.6642609310406024,-0.3721154510614887,1.4709166666666693,0.030914349410897688,0.0,0.0,0.0,0.0,2,-0.05117992894646082,,-0.04171877060327637,0,0.0,,,,,-0.040514439262216415,-0.046828993034662876,0.012220294390032516
AAPL,2013-02-27,-0.009800665746782178,-0.009536597766112265,-0.04986176521629848,,0.013610857792316447,0.01322394143292355,-0.009536597766112265,,1.2453763974734549,-3.125553764992138,0.8744462121467443,-0.5627768898195628,25.535269457889882,-1.0979779363565143,-0.7510043321037848,-0.3469736042527295,1.4873307692307722,0.02652027478762846,0.0,0.0,0.0,0.0,2,-0.05991327091958171,,-0.04920485180432311,0,0.0,,,,,-0.04346128391759536,-0.037166263719956974,0.016752322208276823
