,MAE,RMSE,R2,Directional_Acc,CV_MAE_Return,CV_Directional_Acc
Baseline_XGB,4.683167837609847,9.460615535358935,0.9995188129815583,0.5166666666666667,0.012117294604392153,0.5089712427419117
ClusterNews_Direct_XGB,4.708700346288087,9.445674075096425,0.9995203316902033,0.5191666666666667,0.012146100803870765,0.5107913895247733
ClusterNews_Stacked_XGB,4.510934724375111,8.802264922252506,0.9995834530243832,0.5466666666666666,0.012950411295467442,0.5017142857142857
