Rank,Model,Avg_MAE,Avg_R2,Stock_Wins
1,02C_Blended,4.838274417891853,0.981586864727262,1
2,02C_GlobalSent,4.8382745836622885,0.9815868639574399,1
3,02C_ClusterSpecific,5.106616760281754,0.9779995327765644,2
4,02B_Blended,7.142821159428003,0.9722486662979792,1
