date,open,high,low,close,volume,Name,price_change,intraday_range,open_close_change,volume_ma20,volume_std20,volume_z,volume_ratio,return_ma20,return_std20,return_z,momentum_3,momentum_5,if_anomaly,lof_anomaly,svm_anomaly,z_anomaly,anomaly_votes,consensus_anomaly
2013-04-24,56.2199,59.3214,56.0714,57.9231,242387530,AAPL,-0.0016443031102149064,0.05780871186181405,0.030295322474781977,115314578.4,51738884.37298716,2.456043518138646,2.1019677942125656,-0.006231477561318016,0.019389079996504483,0.23658546212249879,0.03823631159044916,0.006608993653419715,True,True,True,True,4,True
2013-08-13,67.2771,70.6656,66.8642,69.9385,219634975,AAPL,0.04752297590375876,0.0565036245617008,0.03955878003064936,79459041.55,39754467.468829125,3.526042288452482,2.764128168621234,0.006648725821044471,0.018719977454823303,2.183456159675172,0.0619510010097406,0.05227325387200921,True,False,True,True,3,True
2013-09-11,66.7157,67.6699,66.4014,66.8156,224250866,AAPL,-0.05444448847201078,0.019013515559306176,0.0014973986632832333,101197346.25,46915942.50440005,2.622850851572668,2.215975757368242,-0.0021328416793346128,0.017517496355148616,-2.9862513302194067,-0.061238482483821355,-0.06212530617687717,True,True,True,True,4,True
2013-09-23,70.8714,70.9871,68.9428,70.0914,190021706,AAPL,0.049699877794550984,0.028845204130297876,-0.011005850032594265,109822125.0,47407985.48946526,1.691689283397657,1.7302679765120188,-0.0007952429201768474,0.022921271333973117,2.2029808023731086,0.055866881180064665,0.0900209633173048,True,True,True,False,3,True
2014-01-28,72.6799,73.5714,71.7242,72.3571,266833581,AAPL,-0.07992721520596913,0.02541555505717538,-0.004441393012373446,95544181.6,45948090.961098336,3.7278893598652685,2.792776875907638,-0.004773817843479733,0.022201058581453142,-3.3851267536077247,-0.08932315724027173,-0.0775308043881513,True,False,True,True,3,True
2014-04-24,81.1728,81.4285,80.1042,81.1099,189978082,AAPL,0.08198179931220495,0.01631457828238023,-0.0007748901109731224,64653878.1,32476888.678881526,3.8588734635006317,2.9383864910030817,0.0027240549486179768,0.020581638564401556,3.850895744553248,0.06890357847904749,0.09394800941948245,True,False,True,True,3,True
2014-04-28,81.8285,85.1071,81.7928,84.8699,167371680,AAPL,0.03872806759879377,0.040503003232370174,0.03716797937149032,72618465.85,39809804.084637865,2.380147713074633,2.3048088119311325,0.005298433779942746,0.021968266968946788,1.5217237602813838,0.13213907438483963,0.11845458834444278,True,False,True,True,3,True
2014-09-03,103.1,103.2,98.58,98.94,125420521,AAPL,-0.04220716360116161,0.04481086323957328,-0.04034917555771093,48580590.05,21238510.94261621,3.6179528384834443,2.581700240176478,0.0020411630080854224,0.012075037252239256,-3.6644463851274165,-0.03237163814180932,-0.019318260662708475,True,False,True,True,3,True
2014-09-09,99.08,103.08,96.14,97.99,189846255,AAPL,-0.003761691744611717,0.07004440855874039,-0.011001211142511137,59413524.8,37952955.53641784,3.436694938681205,3.195337351875141,0.0011032015493939729,0.012172331834725554,-0.3996681457637387,-0.0013249082755810715,-0.051403678606001924,True,True,True,True,4,True
2014-12-01,118.81,119.25,111.27,115.07,83814037,AAPL,-0.03245606659379474,0.06716606346267152,-0.03147883174816942,45214288.3,14254299.924572386,2.7079371771502805,1.8537068734530984,0.00324285798402939,0.011868167885368945,-3.0079558127782886,-0.021513605442176842,-0.012020262728599684,True,False,True,True,3,True
2015-01-28,117.625,118.12,115.31,115.31,146477063,AAPL,0.056532893531244355,0.023889479277364525,-0.019681190223166823,60418327.4,24732718.997129146,3.4795501299306912,2.4243812979172277,0.0008685735303675002,0.023395192752705005,2.379305893705057,0.020623119136130352,0.0525787311729804,True,False,True,True,3,True
2015-04-28,134.455,134.54,129.57,130.56,118923970,AAPL,-0.01575574820957404,0.036964040013387364,-0.028968799970250342,44582227.9,22945547.14101791,3.2399202182067492,2.6675196732373263,0.001689676711007565,0.011008967703149167,-1.58465583613178,0.006863576771805491,0.028760538964620608,True,False,True,True,3,True
2015-08-24,94.87,108.8,92.0,103.12,162206292,AAPL,-0.024962178517397904,0.17708443132707913,0.0869611046695478,68002214.7,37757590.54626643,2.49497057246189,2.385308959650692,-0.008434450034707469,0.02267051660087032,-0.7290406642985778,-0.10338231458134073,-0.11983612154318879,True,True,True,True,4,True
2015-08-25,111.11,111.11,103.5,103.74,103601599,AAPL,0.006012412723040983,0.06849068490684906,-0.0663306633066331,71501389.8,37646025.38484611,0.8526852136938073,1.44894524833418,-0.00838226142592367,0.022704171503363412,0.6340101045674454,-0.07909454061251675,-0.1095278969957082,True,True,True,True,4,True
2015-08-26,107.085,109.89,105.05,109.69,96774611,AAPL,0.05735492577597845,0.045197740112994385,0.024326469626931916,74489537.7,37132660.135546766,0.6001475040746325,1.2991705142506207,-0.005356466831078388,0.027052693092303255,2.3181201366195525,0.03715960665658091,-0.04625684723067569,True,True,True,True,4,True
2015-08-27,112.25,113.24,110.02,112.92,84616056,AAPL,0.029446622299206915,0.0286859688195991,0.005968819599109146,77038927.1,35909806.46830106,0.2110044482330648,1.0983545486058568,-0.003632082703678008,0.02815072345214382,1.1750570126241573,0.09503491078355308,0.002396804260985208,False,True,True,True,3,True
2016-01-27,96.04,96.6289,93.34,93.42,133369674,AAPL,-0.06570657065706564,0.03424510620574758,-0.027280299875052108,62440504.7,22495235.29571166,3.153075234270675,2.135948045916419,-0.006360352292395327,0.025822693479852943,-2.2982195258202895,-0.0788799053441136,-0.034817646451079654,True,False,True,True,3,True
2016-04-27,96.0,98.71,95.68,97.82,114602142,AAPL,-0.06257786296118828,0.03156249999999986,0.01895833333333326,37374895.2,20781584.309289005,3.716138560498526,3.0662866447315147,-0.0055035935303367365,0.017395202850068847,-3.28103500274075,-0.07437547312641946,-0.08690376178474757,True,False,True,True,3,True
2016-07-27,104.265,104.35,102.75,102.95,92344820,AAPL,0.0649632771283748,0.015345513834939763,-0.01261209418309114,34527172.4,15678713.826348197,3.6876524592748807,2.6745549542886984,0.004900193606062869,0.016331086835210694,3.6778374965720415,0.043482667747820836,0.029911964785914513,True,False,True,True,3,True
2016-09-08,107.25,107.27,105.24,105.52,53002026,AAPL,-0.026208933185677408,0.018927738927738937,-0.016130536130536166,27868461.8,7644796.6469863495,3.287669425439575,1.9018640634123551,-0.0011300162213255694,0.00802605616577804,-3.1246874487727565,-0.020514248584424077,-0.005466540999057523,True,False,True,True,3,True
2016-09-14,108.73,113.03,108.6,111.77,112340318,AAPL,0.035386753126447346,0.04074312517244557,0.027959164903890298,35896395.05,21352664.95759056,3.5800647414188598,3.1295710291666183,0.0011784423900838338,0.01433489019016634,2.3863671282135273,0.08377775623000105,0.03146917681801398,True,False,True,True,3,True
2017-02-01,127.03,130.49,127.01,128.75,111985040,AAPL,0.06098063452822422,0.027395103518853846,0.013540108635755324,32326716.75,19870096.35450554,4.008955056321984,3.464163740043288,0.005254351197366752,0.014125108994081814,3.9451931559753524,0.05576055760557597,0.056366918280275735,True,False,True,True,3,True
2017-08-01,157.06,158.92,156.6701,158.59,21194042,AAPL,0.06629462784912277,0.014325098688399316,0.009741500063669943,21446401.25,3860353.8764608684,-0.06537205087305631,0.9882330258089338,0.005135412581223386,0.016381635671826465,3.7334010164249034,0.05333421891604684,0.03830037973026057,False,True,True,True,3,True
2017-08-02,159.28,159.75,156.16,157.14,69936800,AAPL,-0.00914307333375386,0.022538925163234576,-0.013435459568056345,23864763.4,11510815.058257665,4.002499941735116,2.9305465479703856,0.004472684001643701,0.01669043901299472,-0.8157818571936125,0.05110367892976586,0.02398019027759668,True,True,True,True,4,True
2018-02-06,154.83,163.72,154.0,163.03,68243838,AAPL,0.04179180778324487,0.06277853129238518,0.05296131240715616,40637509.9,18029960.895965338,1.5311363268778702,1.6793311934696078,-0.0032100065258187207,0.01720717010153407,2.6152943246055056,-0.028310883299558998,-0.02359705336287954,True,True,True,True,4,True
2013-04-26,269.97,272.02,252.81,254.81,14029220,AMZN,-0.07240626137604655,0.0711560543764121,-0.05615438752453985,3272086.8,2681068.8978461283,4.0122554137425865,4.287545183703562,-0.0019850343912842404,0.022804001083160566,-3.0881083862412333,-0.05239866121234649,-0.02116625691456664,True,True,True,True,4,True
2013-07-26,299.55,313.62,295.55,312.01,8817434,AMZN,0.02837837837837842,0.0603238190619262,0.041595726923718844,3127485.65,1649637.223119273,3.4492119056582426,2.8193363573067076,0.005935512589689362,0.011899034639399564,1.8861081145505048,0.03637148741114715,0.02221275759263497,True,False,True,True,3,True
2013-10-25,358.6,368.4,352.62,363.39,12043903,AMZN,0.09385629571656495,0.04400446179587276,0.013357501394311107,3308586.25,2371325.9397361143,3.683726730106146,3.6401961714010023,0.007402957227365814,0.029252798738425744,2.9553869105740027,0.09277079449088821,0.10476057288610674,True,False,True,True,3,True
2014-01-30,393.77,406.25,387.7,403.01,10900116,AMZN,0.0489588755856325,0.047108718287325116,0.02346547476953554,3269979.6,1948203.6594332769,3.9164983409483844,3.333389602797522,0.0006755748074684265,0.017793301847741704,2.7135661043311146,0.04331055193124156,0.007852552079425701,True,False,True,True,3,True
2014-01-31,371.76,375.45,357.76,358.69,16181519,AMZN,-0.10997245725912508,0.047584463094469544,-0.035157090596083476,3972043.25,3461731.6686709826,3.5269850232751936,4.073852670159118,-0.004720237052202892,0.0304947439877877,-3.451487254625675,-0.09061176888167732,-0.07458720330237367,True,True,True,True,4,True
2014-02-03,358.98,360.85,340.1,346.15,10290934,AMZN,-0.03496055089352934,0.05780266310100841,-0.03574015265474411,4375914.35,3708183.3232418965,1.5951260049432419,2.3517219892569425,-0.006276039052240312,0.03123253878012041,-0.9184175530279591,-0.09903695991671013,-0.10388837112975047,True,False,True,True,3,True
2014-02-04,349.59,353.9975,344.02,347.95,4821177,AMZN,0.005200057778419698,0.028540576103435515,-0.004691209702794664,4458362.85,3698329.921497376,0.09810215900184063,1.0813783359961382,-0.005661631965962854,0.031336416980705904,0.34661556077295586,-0.13662192005161167,-0.11784093502015569,False,True,True,True,3,True
2014-02-06,347.403,354.82,347.403,354.59,3340542,AMZN,0.02349545388945007,0.021349844417002654,0.02068778910947791,4635661.1,3623392.296027739,-0.3574327575349254,0.720618252270426,-0.005749964606670427,0.031612329345049296,0.9251269710911234,0.024382493138812578,-0.12014590208679687,False,True,True,True,3,True
2014-04-04,335.15,335.44,315.61,323.0,12534578,AMZN,-0.03183262394340869,0.05916753692376543,-0.03625242428763234,4386680.45,2398140.547605355,3.3975896692693937,2.8574176174606016,-0.006943661092692577,0.01455336732267576,-1.7101858490121629,-0.05828158255342719,-0.04519790712110916,True,False,True,True,3,True
2014-04-10,330.6,331.0,316.5,317.11,6133376,AMZN,-0.04428806075857805,0.043859649122807015,-0.04080459770114945,4959202.15,2269524.6552560064,0.5173655405244103,1.236766684334495,-0.007708151221056875,0.019228184107691924,-1.9024110302172514,-0.0020455689828801082,-0.049487440800911164,True,False,True,True,3,True
2014-04-25,316.25,316.49,302.71,303.83,16186737,AMZN,-0.09882841465223191,0.04357312252964436,-0.03927272727272732,6075653.75,3289140.6750339135,3.074080511894113,2.664196754135306,-0.004924782470938388,0.03055472288997445,-3.073293530412118,-0.07740191910603667,-0.06487950509371843,True,True,True,True,4,True
2014-04-28,304.0,304.39,288.0,296.58,14479803,AMZN,-0.023862028107823452,0.053914473684210484,-0.024407894736842156,6600304.8,3743848.612029394,2.1046519281474985,2.193808231401677,-0.00609129363199476,0.03082235755631576,-0.5765533815302626,-0.08626532750015403,-0.10363586907244549,True,False,True,True,3,True
2014-06-05,308.1,327.94,306.9,323.57,7803760,AMZN,0.054729773779255586,0.06828951639078228,0.05021097046413492,3528252.3,1292854.5163288906,3.307029248844229,2.211791940162556,0.005176926340789761,0.018085389602488358,2.739938067557465,0.04769459914518848,0.031200203964561135,True,False,True,True,3,True
2014-07-25,317.3,324.87,314.76,324.01,17855141,AMZN,-0.09648364518557773,0.03186259060825721,0.021147179325559342,4329795.3,3584389.393941342,3.773403002157566,4.123784096675425,0.00014853254678141582,0.028801018176875547,-3.355165332659854,-0.10206739829287215,-0.09660960240896677,True,True,True,True,4,True
2014-07-29,321.98,322.8999,319.5,320.0,2885644,AMZN,-0.0012796104990481227,0.010559351512516312,-0.00614945027641474,4516187.9,3566487.382315768,-0.4571848222665704,0.6389556997838818,-0.00033139423713342,0.028902341327196917,-0.03280759337730322,-0.1076657092663339,-0.11318035694490625,False,True,True,True,3,True
2014-07-31,320.01,320.6836,311.86,312.99,5193770,AMZN,-0.029518464543734968,0.027572888347239147,-0.021936814474547615,4681530.75,3529789.8611392835,0.14511890796656898,1.1094170427055297,-0.002655888076820867,0.029122796842845102,-0.9223899961213274,-0.02315782903155339,-0.12721340732271824,False,True,True,True,3,True
2014-10-24,284.4,293.81,284.0,287.06,19805911,AMZN,-0.08340251612491223,0.03449367088607596,0.009353023909986024,4533637.35,3895300.9526941055,3.9206915808231053,4.3686579827563845,-0.005666650550439694,0.022367441496481694,-3.4754026555384114,-0.08965211048742583,-0.05460413647740736,True,True,True,True,4,True
2015-01-21,289.64,306.0,287.26,297.25,10065076,AMZN,0.026983139856274097,0.06470100814804589,0.026273995304516,3491521.55,1790605.683734284,3.6711345829590694,2.882719140026502,-0.0003366219267412318,0.015019120996876762,1.818998714285376,0.03589475518383001,0.008515980185926475,True,False,True,True,3,True
2015-01-30,346.32,359.5,340.74,354.53,23856060,AMZN,0.13711591506831744,0.05416955416955414,0.023706398706398648,5153097.1,4827891.508761432,3.8739401799022897,4.629460601470134,0.0072358070150499495,0.03540343337698241,3.6685737982042506,0.15576202118989402,0.13489548321008993,True,True,True,True,4,True
2015-02-02,350.05,365.0,350.01,364.47,10231914,AMZN,0.02803711956675059,0.04282245393515215,0.04119411512641056,5525287.75,4921985.312638782,0.9562454885662137,1.8518336895666656,0.008932491412913829,0.03555375423499913,0.5373448898690467,0.19926952058175118,0.17700058128269713,True,False,True,True,3,True
2015-02-04,358.38,367.5,358.23,364.75,4169927,AMZN,0.0033007839361847147,0.02586639879457554,0.017774429376639336,5729749.1,4867576.644955604,-0.3204514718050683,0.7277678179660607,0.01113885120905318,0.03418723509199283,-0.2292688265598951,0.028826897582715283,0.20019084597413705,False,True,True,True,3,True
2015-02-05,366.0,378.8,365.9,373.89,7247605,AMZN,0.025058259081562673,0.03524590163934436,0.02155737704918029,5960111.9,4822485.156773075,0.26697709959599225,1.2160182764353802,0.01186177669318651,0.03432781646444509,0.38442533628797426,0.025845748621285525,0.19921098210276478,False,True,True,True,3,True
2015-04-24,439.0,452.65,439.0,445.1,17176904,AMZN,0.14131131567476096,0.031093394077448697,0.013895216400911214,3725035.95,3490364.139916191,3.8540013336038346,4.611204893203782,0.010133779044262997,0.033291305220504164,3.9402941927823707,0.13783935784038048,0.18516348918947712,True,True,True,True,4,True
2015-04-27,443.86,446.99,437.41,438.56,5430949,AMZN,-0.014693327342170326,0.021583382147523957,-0.011940702023160481,3866094.7,3499914.085058722,0.44711220389106904,1.40476357188043,0.008962199651429697,0.033752110917605625,-0.7008606676882225,0.1250897896357106,0.12592744730558914,True,False,True,True,3,True
2015-04-28,438.51,439.0,428.04,429.31,4140483,AMZN,-0.021091754834002163,0.02499372876331208,-0.020980137283072197,3982072.2,3466851.752504001,0.04569298352188972,1.0397809964369806,0.007363840320783138,0.03440729689174279,-0.8270221065117789,0.10082309802815459,0.09747430850247962,False,True,True,True,3,True
2015-07-24,578.99,580.57,529.35,529.42,21909381,AMZN,0.09797171180886788,0.0884643948945578,-0.08561460474274175,4337956.9,4479139.093079441,3.922946739285008,5.050622102769163,0.009567136549187083,0.025047640837598764,3.529457158575093,0.08487704918032768,0.09608496718494441,True,True,True,True,4,True
2015-08-24,463.58,489.76,451.0,463.37,10097601,AMZN,-0.06289562561935003,0.08361016437292375,-0.00045299624660248404,3740429.95,1875666.8229366038,3.3892858647715536,2.6995829717383155,-0.006650996986912705,0.018980968191272513,-2.9632117848603063,-0.13050739322975302,-0.13424386233698293,True,True,True,True,4,True
2015-08-25,487.49,489.44,466.25,466.37,5679329,AMZN,0.0064743077885922595,0.04757020656833986,-0.04332396561980759,3760741.8,1895235.296101766,1.0123213745260369,1.5101619047603854,-0.005821081111982257,0.01918291800009595,0.6409550882985069,-0.09579665748962729,-0.12831296026316774,True,True,True,True,4,True
